ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Faro,Portimão,180989048.0,56248,3217.697482577158,0.22104739916945426,711.2636598377811,portimao,17653.70506280601,4.028976678308274,0
2022,Faro,Silves,131509339.098,36129,3639.993885742755,0.22104739916945426,804.6111814361517,silves,16507.231895687964,4.874295015182606,0
2022,Faro,São Brás de Alportel,29454969.4,7819,3767.101854457092,0.22104739916945426,832.7080673341682,sao bras de alportel,19016.08785259098,4.3789662405283325,0
2022,Faro,Tavira,92071276.64,29351,3136.9042499403768,0.22104739916945426,693.404525892928,tavira,17621.353288574548,3.93502425459299,0
2022,Faro,Vila Real de Santo António,61181971.25,23861,2564.099210007963,0.22104739916945426,566.7874615847126,vila real de santo antonio,16620.816115843354,3.4101060840474458,0
2022,Faro,Vila do Bispo,28844815.0,6786,4250.635867963454,0.22104739916945426,939.5920034297174,vila do bispo,16024.683828026611,5.863404317446837,1
2022,Guarda,Aguiar da Beira,12888223.0,4892,2634.550899427637,0.22104739916945426,582.3606242980256,aguiar da beira,15929.23469369836,3.6559234357216726,0
2022,Guarda,Almeida,15562415.0,6955,2237.586628324946,0.22104739916945426,494.61270460757765,almeida,17027.003475539026,2.904872283124495,0
2022,Guarda,Celorico da Beira,13820633.0,6239,2215.2000320564193,0.22104739916945426,489.6642057261632,celorico da beira,16634.064185391315,2.943743635161667,0
2022,Guarda,Figueira de Castelo Rodrigo,13136234.0,5358,2451.7047405748413,0.22104739916945426,541.9429564354903,figueira de castelo rodrigo,15510.251428077177,3.4940952372599643,0
2022,Guarda,Fornos de Algodres,9683406.0,4094,2365.2677088422083,0.22104739916945426,522.8362753790641,fornos de algodres,15541.371447034637,3.3641579004845394,0
2022,Guarda,Gouveia,24350371.0,10844,2245.515584655109,0.22104739916945426,496.3653797824883,gouveia,16315.913195403102,3.04221635551687,0
2022,Guarda,Guarda,84124317.0,30449,2762.794081907452,0.22104739916945426,610.7084462464024,guarda,21503.03620298389,2.840103325323225,0
2022,Guarda,Manteigas,8587119.0,2742,3131.699124726477,0.22104739916945426,692.2539465020441,manteigas,15493.006734343253,4.468170435681339,0
2022,Guarda,Mêda,10328859.0,5038,2050.1903533148075,0.22104739916945426,453.1892454025427,meda,15550.948824032095,2.914222473050609,0
