,ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe
1100,2025,Évora,Borba,13101884.659,4263,3073.395416138869
1101,2025,Évora,Estremoz,29944910.582,9431,3175.157521153642
1102,2025,Évora,Montemor-o-Novo,39727411.641,10917,3639.041095630668
1103,2025,Évora,Mora,10184245.344,3642,2796.3331532125208
1104,2025,Évora,Mourão,5896188.0030000005,1996,2954.002005511022
1105,2025,Évora,Portel,12361069.468,4213,2934.030255874674
1106,2025,Évora,Redondo,13589422.402,4505,3016.519956048835
1107,2025,Évora,Reguengos de Monsaraz,23035268.792,7335,3140.4592763462847
1108,2025,Évora,Vendas Novas,21846462.783,7092,3080.4375046531304
1109,2025,Évora,Viana do Alentejo,12217769.876,3801,3214.3567156011577
1110,2025,Évora,Vila Viçosa,14760699.39,4994,2955.686702042451
1111,2025,Évora,Évora,124392589.47399999,33340,3731.031477924415
